name,rating,reviews,has_owner_response,oldest_review,url
Maison Café,4.9,52,False,5 months ago,https://www.google.com/maps/place/Maison+Caf%C3%A9/data=!4m7!3m6!1s0x46920bf823f7ceb5:0xb964bbdb4a44fb71!8m2!3d60.1701271!4d24.9260005!16s%2Fg%2F11xg4sr3r9!19sChIJtc73I_gLkkYRcftEStu7ZLk?authuser=0&hl=en&rclk=1
Mikivi Restaurant,4.9,30,True,3 weeks ago,https://www.google.com/maps/place/Mikivi+Restaurant/data=!4m7!3m6!1s0x46920b7556a60369:0x6b8f671da49f1f7f!8m2!3d60.1706966!4d24.9279032!16s%2Fg%2F11mddrl89_!19sChIJaQOmVnULkkYRfx-fpB1nj2s?authuser=0&hl=en&rclk=1
Omu Raisu,4.9,64,False,4 months ago,https://www.google.com/maps/place/Omu+Raisu/data=!4m7!3m6!1s0x4692094d4424931b:0xfae772f94d49488a!8m2!3d60.1883772!4d24.9646827!16s%2Fg%2F11yk50zgkf!19sChIJG5MkRE0JkkYRikhJTfly5_o?authuser=0&hl=en&rclk=1
Restaurant Boreal,4.9,43,True,5 months ago,https://www.google.com/maps/place/Restaurant+Boreal/data=!4m7!3m6!1s0x46920b79f37ece57:0xae228a80c43abcd8!8m2!3d60.1650204!4d24.9421133!16s%2Fg%2F11mdfh9wrj!19sChIJV85-83kLkkYR2Lw6xICKIq4?authuser=0&hl=en&rclk=1
Ravintola Lohtu,4.8,123,False,2 months ago,https://www.google.com/maps/place/Ravintola+Lohtu/data=!4m7!3m6!1s0x46920ba73c4a38e5:0xbccd90cee7539792!8m2!3d60.1801623!4d24.9515048!16s%2Fg%2F11kjy7yl1l!19sChIJ5ThKPKcLkkYRkpdT586Qzbw?authuser=0&hl=en&rclk=1
Bali autotalo,4.6,64,False,3 months ago,https://www.google.com/maps/place/Bali+autotalo/data=!4m7!3m6!1s0x46920b61caf6ed73:0x2c04c40ba126fd2e!8m2!3d60.1691213!4d24.9283457!16s%2Fg%2F11wnp67zxz!19sChIJc-32ymELkkYRLv0moQvEBCw?authuser=0&hl=en&rclk=1
Restaurant Nefer Nefer Nefer,4.5,45,True,2 months ago,https://www.google.com/maps/place/Restaurant+Nefer+Nefer+Nefer/data=!4m7!3m6!1s0x46920b9eb9dafe2b:0xfeb3dabbc44879f0!8m2!3d60.1660587!4d24.9433841!16s%2Fg%2F11ynzjnt_z!19sChIJK_7auZ4LkkYR8HlIxLvas_4?authuser=0&hl=en&rclk=1
Victor’s Garden,4.5,47,False,5 months ago,https://www.google.com/maps/place/Victor%E2%80%99s+Garden/data=!4m7!3m6!1s0x46920b45ca411c13:0xa164e9450aebea5b!8m2!3d60.166553!4d24.9521811!16s%2Fg%2F11ychqrm0c!19sChIJExxBykULkkYRW-rrCkXpZKE?authuser=0&hl=en&rclk=1
Esmes,4.4,50,True,4 months ago,https://www.google.com/maps/place/Esmes
Rue Madame Brasserie,4.2,63,True,4 months ago,https://www.google.com/maps/place/Rue+Madame+Brasserie/data=!4m7!3m6!1s0x46920b005d0c7657:0x431d07ff9c7b1b93!8m2!3d60.1679392!4d24.9480531!16s%2Fg%2F11xvcw6ck2!19sChIJV3YMXQALkkYRkxt7nP8HHUM?authuser=0&hl=en&rclk=1
Bouchon Carême,4.0,138,True,3 months ago,https://www.google.com/maps/place/Bouchon+Car%C3%AAme/data=!4m7!3m6!1s0x46920b000e6fdd4b:0xb8adca44f5f5e84!8m2!3d60.1689999!4d24.9459951!16s%2Fg%2F11ldx2_f6c!19sChIJS91vDgALkkYRhF5fT6Tcigs?authuser=0&hl=en&rclk=1
